"","Saanich_010","Saanich_100","Saanich_120","Saanich_135","Saanich_150","Saanich_165","Saanich_200"
"Otu0341",11,4,4,2,4,81,16
"Otu0342",2,56,45,5,13,7,292
"Otu0343",6,55,35,8,2,3,3
"Otu0344",6,20,23,19,18,25,9
"Otu0345",86,8,6,4,2,2,4
"Otu0346",12,25,50,18,8,3,12
"Otu0347",2,27,42,17,16,3,9
"Otu0348",102,2030,1349,1009,200,223,2
"Otu0349",2,72,26,2,4,2,9
"Otu0350",6,2,11,7,4,62,15
"Otu0351",6,25,27,9,10,30,4
"Otu0352",6,102,98,3,20,112,100
"Otu0353",79,4,7,6,2,4,5
"Otu0354",4,65,28,2,4,12,2
"Otu0355",90,12,2,4,2,9,2
"Otu0356",2,8,24,12,5,42,7
"Otu0357",19,48,3,25,2,12,2
"Otu0358",96,111,690,564,722,228,92
"Otu0359",2,15,51,15,4,10,4
"Otu0360",6,47,23,16,2,21,2
"Otu0361",3,7,5,11,2,6,91
"Otu0362",2,40,40,10,14,12,12
"Otu0363",2,6,13,17,41,13,10
"Otu0364",2,47,31,6,2,6,2
"Otu0365",12,12,31,16,30,2,4
"Otu0366",5,4,2,7,2,3,89
"Otu0367",23,24,24,14,2,2,2
"Otu0368",22,2,12,6,15,54,6
"Otu0369",88,2,2,2,2,2,5
"Otu0370",51,13,9,5,6,2,2
"Otu0371",11,3,18,4,2,51,10
"Otu0372",86,4,2,2,2,9,3
"Otu0373",21,6,20,32,13,12,4
"Otu0374",5,34,41,12,6,2,6
"Otu0375",2,4,2,2,2,9,87
"Otu0376",6,102,76,16,4,35,26
"Otu0377",2,17,27,23,19,2,3
"Otu0378",35,5,2,2,2,2,43
"Otu0379",85,10,8,10,18,3,12
"Otu0380",2,6,30,21,23,2,2
"Otu0381",61,16,7,2,2,2,22
"Otu0382",2,63,17,4,36,2,18
"Otu0383",4,2,6,14,4,59,3
"Otu0384",13,8,9,18,33,12,3
"Otu0385",2,2,2,2,2,23,81
"Otu0386",7,10,2,2,5,74,7
"Otu0387",73,4,2,2,2,9,5
"Otu0388",7,55,16,2,2,4,9
"Otu0389",7,2,2,11,7,53,6
"Otu0390",2,59,16,2,2,2,8
"Otu0391",6,48,31,26,18,29,4
"Otu0392",79,2,2,12,6,2,4
"Otu0393",131,6,8,28,10,23,3
"Otu0394",76,2,2,2,2,4,2
"Otu0395",4,5,2,2,2,9,78
"Otu0396",2,2,7,2,2,4,76
"Otu0397",5,14,8,2,8,6,76
"Otu0398",2,2,8,7,35,24,2
"Otu0399",35,46,19,10,2,2,8
"Otu0400",2,3,6,10,4,2,69
"Otu0401",4,4,49,12,10,277,12
"Otu0402",2,2,12,12,25,18,6
"Otu0403",52,14,7,8,4,4,4
"Otu0404",70,4,2,2,3,2,4
"Otu0405",2,11,28,2,4,28,5
"Otu0406",13,2,2,2,3,2,73
"Otu0407",2,2,2,2,2,5,67
"Otu0408",2,6,8,24,32,2,3
"Otu0409",2,2,6,9,22,35,2
"Otu0410",24,19,18,9,2,9,6
"Otu0411",2,4,2,3,2,9,72
"Otu0412",42,28,2,11,2,2,58
"Otu0413",16,2,9,9,56,44,9
"Otu0414",41,20,8,2,2,4,117
"Otu0415",2,2,3,13,31,22,2
"Otu0416",2,31,28,12,2,2,32
"Otu0417",7,25,26,20,8,2,8
"Otu0418",1,32,23,2,2,12,2
"Otu0419",12,8,32,13,17,2,2
"Otu0420",4,16,50,2,2,90,15
"Otu0421",2,3,2,2,12,2,66
"Otu0422",62,3,2,4,2,29,2
"Otu0423",6,2,4,10,19,36,31
"Otu0424",2,6,2,2,2,67,15
"Otu0425",34,46,20,2,4,40,116
"Otu0426",14,34,16,4,2,2,2
"Otu0427",2,2,2,7,2,3,68
"Otu0428",68,3,15,37,47,2,58
"Otu0429",2,35,30,3,4,6,6
"Otu0430",12,2,2,2,2,2,55
"Otu0431",169,23,36,8,2,35,6
