"Saanich_010"	"Saanich_100"	"Saanich_120"	"Saanich_135"	"Saanich_150"	"Saanich_165"	"Saanich_200"
"Asv348"	88	206	197	129	68	23	0
"Asv349"	0	0	46	16	0	0	0
"Asv350"	75	0	0	22	0	0	0
"Asv351"	77	0	0	0	0	0	0
"Asv352"	0	0	0	37	19	0	0
"Asv353"	0	0	0	0	0	0	6
"Asv354"	0	0	0	0	0	0	68
"Asv355"	0	0	48	0	0	21	0
"Asv356"	46	0	0	0	0	0	0
"Asv357"	40	18	41	0	0	0	0
"Asv358"	0	0	0	0	0	0	46
"Asv359"	0	0	0	0	0	30	0
"Asv360"	0	0	0	0	0	0	62
"Asv361"	0	0	15	0	0	0	0
"Asv362"	0	53	0	0	0	0	0
"Asv363"	0	0	0	17	0	0	0
"Asv364"	4	0	0	0	0	0	0
"Asv365"	17	0	0	0	0	0	0
"Asv366"	0	0	0	16	0	0	0
"Asv367"	194	118	88	50	50	0	0
"Asv368"	0	0	0	0	0	11	0
"Asv369"	0	49	38	76	116	1445	0
"Asv370"	0	0	41	0	0	0	0
"Asv371"	0	0	0	0	8	0	0
"Asv372"	414	0	0	34	47	0	0
"Asv373"	0	0	0	13	0	0	0
"Asv374"	26	0	0	0	0	0	0
"Asv375"	0	84	0	0	0	0	0
"Asv376"	0	31	0	0	6	0	0
"Asv377"	1090	131	84	74	30	0	0
"Asv378"	0	0	0	0	0	0	24
"Asv379"	0	0	0	0	0	9	0
"Asv380"	0	0	0	0	8	0	0
"Asv381"	0	0	21	35	26	0	0
"Asv382"	399	84	53	41	0	9	0
"Asv383"	44	0	0	0	0	0	0
"Asv384"	0	0	0	0	0	0	44
"Asv385"	0	29	64	28	52	0	0
"Asv386"	0	27	31	0	0	0	0
"Asv387"	42	0	0	0	0	0	0
"Asv388"	0	0	0	16	0	0	0
"Asv389"	0	14	0	0	0	0	0
"Asv390"	33	0	0	0	0	0	0
"Asv391"	0	0	0	0	0	0	10
"Asv392"	0	0	0	0	0	0	49
"Asv393"	10	0	0	0	0	0	0
"Asv394"	0	0	0	0	0	0	40
"Asv395"	56	6	0	16	0	0	0
"Asv396"	4	0	0	21	0	0	0
"Asv397"	0	0	9	0	0	0	0
"Asv398"	147	0	0	0	0	0	0
"Asv399"	0	0	0	22	0	0	0
"Asv400"	0	0	0	0	0	0	5
"Asv401"	0	0	0	18	0	0	0
"Asv402"	0	0	0	0	0	5	0
"Asv403"	0	0	0	0	10	32	0
"Asv404"	46	0	0	0	0	0	0
"Asv405"	0	0	0	0	0	0	7
"Asv406"	0	0	0	0	0	0	43
"Asv407"	0	36	0	0	0	0	0
"Asv408"	0	17	0	26	74	61	0
"Asv409"	0	37	0	0	0	0	0
"Asv410"	67	0	0	0	0	0	0
"Asv411"	0	0	38	0	30	34	0
"Asv412"	505	0	0	45	0	32	0
"Asv413"	0	0	0	0	0	9	0
"Asv414"	0	0	0	0	22	0	0
"Asv415"	0	42	0	0	0	0	0
"Asv416"	0	0	0	0	11	17	0
"Asv417"	0	0	34	0	0	0	0
"Asv418"	0	0	12	0	0	0	0
"Asv419"	65	0	0	0	0	0	0
"Asv420"	0	0	31	0	0	0	0
"Asv421"	0	0	0	0	7	6	0
"Asv422"	0	0	0	13	9	0	0
"Asv423"	0	0	0	0	0	0	106
"Asv424"	20	0	0	0	6	0	0
"Asv425"	0	0	0	0	0	0	20
"Asv426"	0	23	0	13	0	0	0
"Asv427"	0	0	0	0	0	8	0
"Asv428"	0	0	20	36	49	30	0
"Asv429"	0	0	0	0	0	0	30
"Asv430"	10	0	0	0	0	0	0
"Asv431"	0	0	58	32	34	0	0
"Asv432"	43	100	58	0	0	0	0
"Asv433"	0	0	0	0	0	0	47
"Asv434"	0	0	0	0	0	0	7
"Asv435"	0	12	0	0	0	0	0
"Asv436"	0	0	0	0	0	0	34
"Asv437"	0	0	0	0	0	0	37
"Asv438"	0	25	0	0	0	0	0
"Asv439"	0	0	51	62	0	0	0
"Asv440"	0	0	0	0	0	0	30
"Asv441"	0	8	0	0	0	0	0
"Asv442"	0	16	0	15	0	0	0
"Asv443"	0	0	0	0	0	0	42
"Asv444"	0	0	0	0	0	65	0
"Asv445"	0	0	0	0	0	0	16
"Asv446"	27	111	68	34	0	0	0
"Asv447"	0	34	56	0	9	0	0
"Asv448"	0	0	0	0	0	0	7
"Asv449"	42	118	86	36	22	0	0
"Asv450"	0	0	0	0	0	0	1265
"Asv451"	204	533	320	255	128	29	0
"Asv452"	0	0	89	0	0	0	0
"Asv453"	0	0	22	28	31	0	0
"Asv454"	235	38	0	0	0	0	0
"Asv455"	0	26	0	0	0	0	0
"Asv456"	0	18	0	0	0	0	0
"Asv457"	0	34	0	0	0	0	0
"Asv458"	0	73	0	0	0	0	0
"Asv459"	0	6	0	0	0	0	0
"Asv460"	53	32	38	75	0	0	0
"Asv461"	0	0	0	0	6	0	0
"Asv462"	0	0	0	0	0	8	0
"Asv463"	0	0	16	0	13	0	0
"Asv464"	0	0	22	0	0	0	0
"Asv465"	0	0	11	0	0	0	0
"Asv466"	0	49	32	0	0	0	0
"Asv467"	0	0	0	0	10	0	0
"Asv468"	0	0	0	0	0	0	23
"Asv469"	0	0	0	0	0	0	10
"Asv470"	0	0	0	0	0	0	17
"Asv471"	0	5	0	0	0	0	0
"Asv472"	0	38	0	32	0	14	0
"Asv473"	0	0	0	0	0	41	0
"Asv474"	0	0	0	0	0	0	5
"Asv475"	0	30	18	0	22	0	0
"Asv476"	0	0	0	0	0	0	47
"Asv477"	0	0	0	0	0	21	0
"Asv478"	87	1925	3062	3740	3144	2496	0
"Asv479"	0	0	72	0	0	0	0
"Asv480"	26	0	0	0	0	0	0
"Asv481"	0	36	44	0	0	0	0
"Asv482"	0	0	21	11	0	0	0
"Asv483"	0	152	87	45	26	0	0
"Asv484"	0	0	23	19	0	60	0
"Asv485"	0	0	53	16	0	0	0
"Asv486"	0	0	66	64	60	0	0
"Asv487"	106	46	0	0	21	0	0
"Asv488"	0	107	62	67	0	0	0
"Asv489"	0	0	34	0	55	0	0
"Asv490"	0	0	0	13	32	0	0
"Asv491"	0	0	0	6	0	0	0
"Asv492"	0	0	44	0	0	0	0
"Asv493"	0	0	0	0	0	16	0
"Asv494"	0	0	50	0	28	20	0
"Asv495"	31	557	1700	2301	3155	6060	0
"Asv496"	0	0	0	0	0	0	6
"Asv497"	161	703	460	227	132	78	0
"Asv498"	0	0	0	18	0	0	0
"Asv499"	27	0	0	0	0	0	0
"Asv500"	0	33	39	40	26	0	0
"Asv501"	0	0	0	13	0	0	0
"Asv502"	0	0	0	0	0	0	31
"Asv503"	261	0	0	0	0	0	0
"Asv504"	0	43	0	0	0	0	0
"Asv505"	14	0	0	0	0	0	0
